,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Overall,Overall,Overall,Overall,Overall,Goals,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Assists,Assists,Points,Points,Points,Points,Points,Points,Time on Ice,Time on Ice,Time on Ice,Time on Ice,per 60 All Situations,per 60 All Situations,per 60 All Situations,per 60 Even-Strength,per 60 Even-Strength,per 60 Even-Strength,per 60 Power-Play,per 60 Power-Play,per 60 Power-Play,Shots,Shots,Defensive,Defensive,Faceoffs,Faceoffs,Faceoffs
,Rk,Date,Game,Score,G,A,P,PIM,+/-,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
0,1,2024-03-07,MTL @ CAR,(1-4),0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:39,14:35,5:17,0:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0%,0,0,7,15,31.82%
1,2,2024-03-05,MTL @ NSH,(4-3),1,1,2,0,-1,1,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0.0%,19:37,15:50,2:49,0:58,3.059,3.059,6.117,3.789,3.789,7.579,0.0,0.0,0.0,1,100.0%,2,0,11,10,52.38%
2,3,2024-03-02,MTL @ TBL,(3-4),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,23:08,19:01,2:19,1:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,1,1,14,11,56.00%
3,4,2024-02-29,MTL @ FLA,(3-4),1,2,3,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,33.3%,22:16,14:30,5:00,2:46,2.695,5.389,8.084,4.138,4.138,8.276,0.0,12.0,12.0,5,20.0%,1,0,8,12,40.00%
4,5,2024-02-27,ARI @ MTL,(2-4),1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,18:41,17:30,0:00,1:11,3.211,0.0,3.211,3.429,0.0,3.429,0.0,0.0,0.0,2,50.0%,1,1,10,6,62.50%
5,6,2024-02-24,MTL @ NJD,(3-4),2,0,2,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0%,21:33,20:51,0:00,0:42,5.568,0.0,5.568,5.755,0.0,5.755,0.0,0.0,0.0,4,50.0%,2,1,8,12,40.00%
6,7,2024-02-22,MTL @ PIT,(1-4),0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:13,15:03,4:11,0:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,0,0,15,10,60.00%
7,8,2024-02-21,BUF @ MTL,(3-2),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:12,16:21,5:16,0:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0%,0,0,15,5,75.00%
8,9,2024-02-17,WSH @ MTL,(4-3),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0%,23:30,19:47,3:43,0:00,2.553,0.0,2.553,0.0,0.0,0.0,16.143,0.0,16.143,4,25.0%,0,0,16,7,69.57%
